country,cover,director,genre,mark,playable,rank,rater,release_date,starring,title
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,导演: 弗兰克·德拉邦特 Frank Darabont,犯罪 剧情,9.7,[不可播放],1,2942075人评价,1994,主演: 蒂姆·罗宾斯 Tim Robbins /...,肖申克的救赎
中国大陆 中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,导演: 陈凯歌 Kaige Chen,剧情 爱情 同性,9.6,[不可播放],2,2173539人评价,1993,主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,霸王别姬
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,导演: 罗伯特·泽米吉斯 Robert Zemeckis,剧情 爱情,9.5,[不可播放],3,2192990人评价,1994,主演: 汤姆·汉克斯 Tom Hanks / ...,阿甘正传
美国 墨西哥,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896604953.jpg,导演: 詹姆斯·卡梅隆 James Cameron,剧情 爱情 灾难,9.5,[不可播放],4,2226635人评价,1997,主演: 莱昂纳多·迪卡普里奥 Leonardo...,泰坦尼克号
法国 美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,导演: 吕克·贝松 Luc Besson,剧情 动作 犯罪,9.4,[不可播放],5,2325157人评价,1994,主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,这个杀手不太冷
日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,导演: 宫崎骏 Hayao Miyazaki,剧情 动画 奇幻,9.4,[不可播放],6,2276651人评价,2001,主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,千与千寻
意大利,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,导演: 罗伯托·贝尼尼 Roberto Benigni,剧情 喜剧 爱情 战争,9.5,[不可播放],7,1345124人评价,1997,主演: 罗伯托·贝尼尼 Roberto Beni...,美丽人生
美国 英国 加拿大,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,导演: 克里斯托弗·诺兰 Christopher Nolan,剧情 科幻 冒险,9.4,[不可播放],8,1881893人评价,2014,主演: 马修·麦康纳 Matthew Mc...,星际穿越
美国 英国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,导演: 克里斯托弗·诺兰 Christopher Nolan,剧情 科幻 悬疑 冒险,9.4,[不可播放],9,2097228人评价,2010,主演: 莱昂纳多·迪卡普里奥 Le...,盗梦空间
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,剧情 历史 战争,9.5,[不可播放],10,1135882人评价,1993,主演: 连姆·尼森 Liam Neeson...,辛德勒的名单
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,导演: 彼得·威尔 Peter Weir,剧情 科幻,9.4,[不可播放],11,1745079人评价,1998,主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,楚门的世界
美国 英国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,导演: 莱塞·霍尔斯道姆 Lasse Hallström,剧情,9.4,[不可播放],12,1415553人评价,2009,主演: 理查·基尔 Richard Ger...,忠犬八公的故事
意大利,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,剧情 音乐,9.3,[不可播放],13,1700602人评价,1998,主演: 蒂姆·罗斯 Tim Roth / ...,海上钢琴师
印度,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,导演: 拉库马·希拉尼 Rajkumar Hirani,剧情 喜剧 爱情 歌舞,9.2,[不可播放],14,1883817人评价,2009,主演: 阿米尔·汗 Aamir Khan / 卡...,三傻大闹宝莱坞
法国 瑞士 德国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,剧情 音乐,9.3,[不可播放],15,1331474人评价,2004,主演: 让-巴蒂斯特·莫尼...,放牛班的春天
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,导演: 安德鲁·斯坦顿 Andrew Stanton,科幻 动画 冒险,9.3,[不可播放],16,1335473人评价,2008,主演: 本·贝尔特 Ben Burtt / 艾丽...,机器人总动员
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896589742.jpg,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,喜剧 动画 冒险,9.2,[不可播放],17,1974351人评价,2016,主演: 金妮弗·...,疯狂动物城
中国香港,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,导演: 刘伟强 / 麦兆辉,剧情 犯罪 惊悚,9.3,[不可播放],18,1387511人评价,2002,主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,无间道
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,导演: 比利·怀尔德 Billy Wilder,剧情 犯罪 悬疑,9.6,[不可播放],19,577534人评价,1957,主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,控方证人
中国香港 中国大陆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,导演: 刘镇伟 Jeffrey Lau,喜剧 爱情 奇幻 古装,9.2,[不可播放],20,1554641人评价,1995,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,大话西游之大圣娶亲
韩国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,导演: 黄东赫 Dong-hyuk Hwang,剧情,9.4,[不可播放],21,944014人评价,2011,主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,熔炉
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,剧情 犯罪,9.3,[不可播放],22,983635人评价,1972,主演: 马龙·白兰度 M...,教父
法国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,剧情 喜剧,9.3,[不可播放],23,1136934人评价,2011,主...,触不可及
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,导演: 加布里尔·穆奇诺 Gabriele Muccino,剧情 传记 家庭,9.2,[不可播放],24,1540979人评价,2006,主演: 威尔·史密斯 Will Smith ...,当幸福来敲门
英国 意大利 中国大陆 法国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,剧情 传记 历史,9.3,[不可播放],25,902663人评价,1987,主演: 尊龙 John Lone / 陈...,末代皇帝
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589968.jpg,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,喜剧 动画 奇幻 音乐,9.1,[不可播放],26,1714283人评价,2017,主演: ...,寻梦环游记
日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,导演: 宫崎骏 Hayao Miyazaki,动画 奇幻 冒险,9.2,[不可播放],27,1284266人评价,1988,主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,龙猫
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,导演: 罗伯·莱纳 Rob Reiner,剧情 喜剧 爱情,9.1,[不可播放],28,1859628人评价,2010,主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,怦然心动
中国大陆 中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,导演: 张艺谋 Yimou Zhang,剧情 历史 家庭,9.3,[不可播放],29,861027人评价,1994,主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,活着
美国 英国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,导演: Chris Columbus,奇幻 冒险,9.2,[不可播放],30,1215409人评价,2001,主演: Daniel Radcliffe / Emma Watson / Rupert Grint,哈利·波特与魔法石
美国 英国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,导演: 克里斯托弗·诺兰 Christopher Nolan,剧情 动作 科幻 犯罪 惊悚,9.2,[不可播放],31,1078257人评价,2008,主演: 克里斯蒂安·贝尔 Christ...,蝙蝠侠：黑暗骑士
